0	0
222222222	2.41E-07
444444444	4.82645E-07
666666666	7.22585E-07
888888888	9.62059E-07
1111111110	1.202163E-06
1333333332	1.443378E-06
1555555554	1.68216E-06
1777777776	1.922336E-06
1999999998	2.161747E-06
2222222220	2.401439E-06
2444444442	2.64075E-06
2666666664	2.880863E-06
2888888886	3.120539E-06
3111111108	3.360068E-06
3333333330	3.599597E-06
3555555552	3.840568E-06
3777777774	4.079473E-06
3999999996	4.318305E-06
4222222218	4.557736E-06
4444444440	4.797845E-06
4666666662	5.038267E-06
4888888884	5.277941E-06
5111111106	5.517829E-06
5333333328	5.757672E-06
5555555550	5.997203E-06
5777777772	6.237617E-06
5999999994	6.47922E-06
6222222216	6.719118E-06
6444444438	6.958644E-06
6666666660	7.199209E-06
6888888882	7.43978E-06
7111111104	7.678968E-06
7333333326	7.919606E-06
7555555548	8.159417E-06
7777777770	8.39962E-06
7999999992	8.638981E-06
8222222214	8.87839E-06
8444444436	9.118598E-06
8666666658	9.358461E-06
8888888880	9.599093E-06
9111111102	9.837917E-06
9333333324	1.0077593E-05
9555555546	1.0317729E-05
9777777768	1.0558811E-05
9999999990	1.0798186E-05

