gamma	12.3583	9.18473	-400.361	0
gamma	58.1867	54.4488	-398	935.998
gamma	-3.27122	0.682406	-398	1000
gamma	1.22421	1.92992	-398	1000
gamma	-4.89011	-8.27166	-398	1000
gamma	-4.94288	-1.09628	-400.672	986.852
gamma	-5.06421	-0.803882	-398	986.852
gamma	0.433281	-1.03949	-398	1000
gamma	11.8408	-4.07415	-398.362	0
gamma	-5.08446	-8.61113	-398	1000
gamma	20.2594	3.24465	-398	1000
gamma	-49.4617	12.1838	-398	1000
gamma	-215.843	-132.901	-399.162	0
gamma	-215.88	-132.83	-399.052	0
gamma	-10.2064	2.12662	-398	1000
gamma	0.348717	6.87251	-399.789	0
gamma	9.22331	8.91393	-398	1000
gamma	-9.41058	-6.65224	-398	1000
gamma	10.707	6.58354	-398.775	717.97
gamma	11.0118	7.10646	-398	717.97
gamma	-7.59086	-0.378589	-398	1000
gamma	50.033	55.4557	-398	956.191
gamma	-4.36374	13.0502	-398	1000
gamma	-4.88375	-6.81646	-398	1000
gamma	-9.469	4.24775	-399.688	283.758
gamma	-8.56063	7.85364	-400.826	0
gamma	-16.9428	8.29706	-398	1000
gamma	-196.61	-13.761	-398.889	466.019
gamma	-196.472	-12.864	-398	466.019
gamma	17.4919	2.97376	-398	1000
gamma	16.8071	6.01512	-398	1000
gamma	9.48735	-6.04764	-401.721	453.228
gamma	9.48649	-1.27106	-399.68	0
gamma	13.83	-1.28984	-398	1000
gamma	-11.629	10.8791	-398.126	328.793
gamma	-13.4804	6.66094	-398.285	0
gamma	-0.222138	10.3	-398	1000
gamma	85.8782	-82.2709	-398.966	0
gamma	-3.32959	3.83583	-398.109	423.202
gamma	-3.21218	4.16294	-398	423.202
gamma	8.75833	-9.87636	-401.103	684.543
gamma	6.41828	-8.95841	-398	684.543
gamma	-0.239106	10.8267	-398	1000
gamma	15.394	8.37426	-399.727	663.913
gamma	17.0171	8.15049	-398	663.913
gamma	0.715992	-5.77037	-398	1000
gamma	16.9931	12.1464	-398	1000
gamma	-16.872	-5.47016	-398	1000
gamma	-139.753	28.1133	-398	876.319
gamma	-2.38038	-1.34196	-400.445	833.884
gamma	-1.34047	-0.778044	-398	833.884
gamma	11.2761	-3.23407	-401.238	0
gamma	-2.99193	-0.180302	-398	1000
gamma	-10.0229	-0.0343646	-401.771	431.966
gamma	-13.39	-0.949878	-400.622	0
gamma	-2.29704	-2.7949	-398	1000
gamma	0.861242	-45.1542	-398	1000
gamma	28.1423	5.34625	-398	1000
gamma	-14.1327	0.727879	-400.589	513.926
gamma	-16.8275	1.1315	-399.03	0
gamma	-5.17579	3.62509	-398	1000
gamma	-5.64928	1.11647	-400.686	792.229
gamma	-4.15063	0.881107	-398	792.229
gamma	1.93838	-2.84112	-398	1000
gamma	-0.466279	-0.93137	-400.861	0
gamma	9.67821	8.68929	-398	1000
gamma	-16.937	1.40074	-398	1000
gamma	-25.801	3.5245	-398	1000
gamma	9.14068	-9.2611	-398	1000
gamma	14.05	-11.531	-398	1000
gamma	10.0125	-5.5775	-398	1000
gamma	-301.166	-249.972	-398	825.421
gamma	-1.37472	9.31222	-398	1000
gamma	5.38614	10.3612	-398	1000
gamma	0.415436	8.94906	-398.564	469.011
gamma	1.62402	9.13533	-398	469.011
gamma	11.9343	-4.10019	-398	1000
gamma	8.64053	-9.99065	-398	1000
gamma	-16.53	-4.48572	-399.433	732.65
gamma	-17.371	-3.83791	-398	732.65
gamma	-221.918	87.5699	-398.325	0
gamma	9.48191	-13.7448	-398	1000
gamma	114.677	-9.52988	-400.969	128.755
gamma	114.524	-9.51968	-401.371	0
gamma	13.1658	-11.149	-399.923	336.76
gamma	13.0172	-10.412	-399.911	0
gamma	-0.109976	-7.63519	-398	1000
gamma	19.1207	-9.98179	-400.53	835.575
gamma	18.2393	-9.29021	-398	835.575
gamma	3.89847	9.17086	-398	1000
gamma	14.104	9.46409	-398	1000
gamma	11.4398	-7.27478	-401.307	0
gamma	-19.0834	9.09377	-398	1000
gamma	-8.43806	6.38723	-398	1000
gamma	-16.3068	0.334222	-398	1000
gamma	-8.36326	-146.306	-398	1000
gamma	-151.511	58.7398	-398.537	0
gamma	13.5142	9.391	-398	1000
gamma	-13.704	14.2791	-398	1000
gamma	-10.3576	8.04133	-398	1000
gamma	16.1508	-5.3183	-399.486	377.289
gamma	16.4511	-3.06779	-399.114	0
gamma	6.45214	-5.02962	-398	1000
gamma	14.7805	8.4007	-398	1000
gamma	346.018	86.8353	-398	672.497
gamma	327.355	160.931	-401.586	0
gamma	18.7768	10.0565	-398	1000
gamma	9.6694	-9.42687	-398	1000
gamma	3.95412	11.2762	-398	1000
gamma	-7.7682	89.722	-398	1000
gamma	4.72615	-2.11589	-401.032	928.969
gamma	5.55729	-2.4662	-398	928.969
gamma	-2.39832	3.89504	-398	1000
gamma	-496.205	251.161	-399.629	0
gamma	11.4522	-9.78341	-398	1000
gamma	106.3	106.941	-398	917.011
gamma	-16.5909	-12.3436	-398	1000
gamma	41.1545	-36.0537	-398	981.955
gamma	8.60726	-8.70482	-399.164	356.616
gamma	7.62768	-6.14064	-398.898	270.266
gamma	7.39803	-5.74251	-398.022	238.299
gamma	7.41136	-5.72242	-398	238.299
gamma	202.746	46.3124	-398.095	0
gamma	6.58137	5.46215	-398	1000
gamma	-12.1826	-10.8302	-398	1000
gamma	12.1976	-2.49231	-398	1000
gamma	-11.8374	-12.2464	-398	1000
gamma	-11.252	-11.415	-398	1000
gamma	-22.7287	10.0106	-399.649	996.129
gamma	-22.6934	10.0377	-398.246	214.574
gamma	-22.1597	10.1852	-399.286	0
