11	0.00001
12	0.00009
13	0.00038
14	0.00118
15	0.00278
16	0.00528
17	0.00863
18	0.0126
19	0.01688
20	0.02116
21	0.02497
22	0.02829
23	0.03112
24	0.03342
25	0.0352
26	0.0365
27	0.03735
28	0.03782
29	0.03795
30	0.03779
31	0.03722
32	0.03643
33	0.03552
34	0.03452
35	0.03343
36	0.03228
37	0.03107
38	0.02983
39	0.02856
40	0.02727
41	0.0259
42	0.02452
43	0.02315
44	0.02178
45	0.02041
46	0.01906
47	0.01771
48	0.01637
49	0.01504
50	0.01372
51	0.0124
52	0.01109
53	0.00979
54	0.00851
55	0.00724
56	0.00599
57	0.00475
58	0.00354
59	0.00234
59.6	0.00116


